Danse serpentine par Mme. Bob Walter,wj2nXd1P,367
Distributing a War Extra,PS730DXw,601
La descente de croix,7U7Wplg9,777
The Sign of the Cross,h4gf2r3s,638
The Haunted House,5goQ5w6w,696
A Turn of the Century Illusionist,OEzv4AGB,234
King John,1ur42T23,782
A Kiss in the Tunnel,Ei17mCsu,961
The Legacy,n9zCCE0I,290
Llegada del vapor Bellver a Mallorca,u61z2oFg,346
Matches: An Appeal,GDOOKFKZ,693
La mauvaise soupe,KEVJycPU,879
The Miser's Doom,3C07o9yu,776
Monnaie de lapin,dSayCYwc,915
Panorama from the Tower of the Brooklyn Bridge,E7LvwvI2,472
Le tondeur de chiens,4i0Q377q,591
Le tonnelier,8nZiGpOq,227
Transformations,cao478fi,700
A Midnight Episode,mnw5Skp4,687
Un lunch,8D46710u,473
Summoning the Spirits,dET6fbt1,1058
Above the Limit,Mt78a5rH,869
Above the Speedway,8gEDnxCc,519
As Seen Through a Telescope,BmUHt3sg,968
Attack on a China Mission,gu8Pf978,211
Badinage,w5D5leG9,757
Bataille d'oreillers,8tc06b7m,462
Bataille de boules de neige,63q6817Q,839
University,a1Vkr7IB,315
USA,46g6JUUX,598
Company,1hlQzqtM,889
OS,S37N3t2Y,280
Chez le photographe,6gU4iLI5,530
Chinese Magic,XRb2Of80,176
The Clown and the Alchemist,X2I61r5C,881
La concierge,v7S2z1Ld,199
Coucher d'une Parisienne,hiLA7PJj,355
Dance de l'ivresse,82st0QFB,180
Dans les coulisses,4DdUAV48,837
Danse du papillon,2i11Ilnh,116
La danse du ventre,s1QQhZDu,740
Danse du voile,b9p87utD,651
2Passion,0hcqke3I,687
Danses,qSf0Lc1u,488
The Enchanted Drawing,nYSD8I2P,490
Faust and Marguerite,3V965iXu,358
Gavotte directoire,vC48bTgh,729
Grandma's Reading Glass,94x6hUNv,971
L'Habanera,KwI8dTWu,1074
Le duel d'Hamlet,LL6ei52D,1084
Happy Hooligan,6t11y5oc,430
The House That Jack Built,hzpHqvW8,1058
How It Feels to Be Run Over,uF5dn8eS,653
Chimmie Hicks and the Rum Omelet,8xe9FDhD,800
Le lapin,TPI0MZEJ,858
Let Me Dream Again,J28z2wpe,789
Undressing Extraordinary,16g28KIk,327
Les vagues,pMhTd4U2,452
Visita de la escuadra inglesa a Barcelona,C7x8S86r,732
Sleeping Beauty,94YjXpj9,728
Jyeol's Wild West Show,Y6jRnwN2,377
Carnaval en las ramblas,gbRW4H6D,613
Les chiens savants,ci4exWpp,507
Les clowns,1Z53pMN7,213
La cour des miracles,Bift9PAN,525
The Coronation of King Edward VII,y5B1Lec5,566
Danse excentrique,Degk6qgU,275
Mother Goose Nursery Rhymes,oK95cKVP,957
Le pommier,AZLhtYfC,1050
Pour secouer la salade,QCd8ZmiR,481
The Prince of Darkness,jWeLT3es,761
Midwife to the Upper Classes,3Q7TNI4s,441
Demolishing and Building Up the Star Theatre,s933F55y,946
The Troublesome Fly,cLH29r3G,223
Adventure of yk.Suh,uVvCV0Us,125
